international_id,helmet_brand,tape_color,pregame_music_genre,locker_room_role,training_pct,uses_tinted_visor,left_skate_first,brings_backup_stick,morning_skate_attended,hydration_pct,pass_drill_success_pct,0x676f6c64656e5f7469707073,video_review_completion_pct,extra_sticks_packed,warmup_laps,bus_seat_number,autographs_signed_week,skate_hollow_inches,avg_shoot_speed,shot_power_score,sleep_hours_before_game,stick_blade_curve_mm,travel_fatigue_score,recovery_balance_minutes,selection_probability
968,TRUE,green,metal,joker,24.902413,0,1,1,1,89.2,80.74,alpha,49.7,2,2,46,6,0.537,96.27,67.52,4.97,12.49,-0.55,-126,0.764724
969,CCM,blue,pop,mentor,44.626469,1,0,1,1,73.32,84.7,zulu,72.7,1,2,36,6,0.559,71.29,37.55,6.81,14.44,-0.74,-101,0.584603
970,TRUE,white,hip hop,joker,59.467119,0,1,1,0,77.1,43.37,oscar,44.46,3,5,36,2,0.621,87.11,56.53,7.11,15.86,-0.57,-93,0.766352
971,Warrior,black,rock,planner,36.41147,0,1,1,1,51.54,63.58,delta,35.74,2,6,5,5,0.473,79.01,46.81,5.6,10.47,-1.37,-112,0.217987
972,Warrior,black,pop,hype,,0,1,1,0,79.93,34.85,xray,23.97,2,1,30,11,0.96,88,,6.83,8.42,-1.65,-138,0.712207
973,Bauer,black,electronic,planner,53.98448,0,1,1,0,52.43,57.01,alpha,66.25,3,5,9,9,0.708,77.69,45.23,8.68,11.42,-3.08,-71,0.379745
974,TRUE,black,electronic,mentor,56.890963,0,1,1,1,66.99,73.79,delta,71.18,2,1,29,4,0.637,84.32,53.18,6.31,8.84,-2.93,-83,0.172862
975,Bauer,white,hip hop,mentor,,0,1,1,1,45.85,66.82,whiskey,87.98,5,8,28,5,0.454,90.22,60.26,7.26,7.72,-5.75,-94,0.065612
976,Bauer,white,rock,joker,67.096155,0,0,0,1,69.6,94.87,kilo,38.66,3,7,23,4,0.513,81.06,49.27,8.97,4.06,-3.72,-145,0.620373
977,CCM,green,electronic,quiet,66.404422,0,1,1,0,73.16,46.75,bravo,91.42,2,4,1,7,0.996,63.34,28.01,7.18,12.26,-1.16,-146,0.568983
978,TRUE,white,electronic,quiet,,0,1,0,1,79.16,80.8,golf,76.86,3,2,15,7,0.393,83.71,52.45,6.84,7.69,-6.84,-6,0.739154
979,CCM,green,electronic,mentor,22.800975,0,0,0,1,92.35,48.81,juliett,67.79,2,4,32,5,0.704,80.38,48.46,7.15,17.94,-1.27,-149,0.465124
980,Warrior,blue,rock,joker,55.259301,1,1,1,1,78.06,63.19,kilo,18.67,3,5,3,2,0.707,85.91,55.09,4.69,7.22,-0.47,-175,0.618533
981,Sherwood,white,pop,planner,62.213949,1,1,1,1,76.02,71.15,kilo,61.11,3,7,42,8,0.845,89.34,59.21,8.21,16.66,-2.76,-145,0.621227
982,Warrior,black,country,hype,61.157604,0,0,1,1,70.36,80.88,victor,67.56,0,6,50,6,0.861,91.65,,6.75,13.64,-2.35,-116,0.830037
983,TRUE,white,country,quiet,50.211173,0,0,0,1,70.33,65.61,golf,49.94,4,1,4,6,0.874,75.71,42.85,6.6,4.71,-3.22,-38,0.538109
984,Bauer,white,rock,planner,54.051444,0,1,1,0,92.91,80.04,papa,63.46,5,2,35,4,0.519,75.54,42.65,8.77,17.94,-3.99,-27,0.090953
985,Bauer,blue,electronic,joker,27.579099,0,1,1,1,51.65,45.97,mike,17.73,2,8,30,7,0.501,74.79,,7.64,10.37,-4.16,-107,0.165969
986,Bauer,white,electronic,quiet,,1,1,1,0,63.9,68.18,quebec,66.42,4,2,25,5,0.941,81.26,49.51,8.22,5.79,-0.73,-44,0.340037
987,TRUE,green,hip hop,planner,71.682912,0,1,0,0,73.15,65.01,victor,91.29,0,1,43,7,0.487,88.36,58.03,9.3,16.76,-3.01,-59,0.924253
988,Warrior,black,metal,hype,60.108016,0,1,1,0,78.77,77.21,whiskey,29.49,0,5,8,6,0.446,70.41,36.49,7.76,9.38,-2.65,-74,0.026438
989,CCM,black,metal,mentor,63.436861,0,0,1,1,71.26,42.1,whiskey,89.81,2,4,26,11,0.463,72.94,39.53,6.97,17.01,-1.68,-21,0.047157
990,Sherwood,white,metal,joker,27.8237,0,1,1,0,84.27,59.58,mike,69.73,3,1,7,5,0.509,84.87,53.84,7.3,7.95,-6.78,-164,0.194189
991,Warrior,green,hip hop,mentor,72.872631,1,1,0,1,99.34,57.81,delta,60.65,1,3,45,2,0.545,75.62,42.74,7.54,11.62,-4.43,-32,0.132231
992,TRUE,black,hip hop,hype,72.942486,1,0,1,1,91.81,23.51,foxtrot,90.33,3,6,12,2,0.753,78.72,46.46,9.63,7.15,-1.56,-71,0.495448
993,Bauer,black,rock,quiet,18.796765,0,0,1,0,93.12,19.45,quebec,19.4,0,8,25,5,0.985,78.61,46.33,7.66,16.1,-1.9,-145,0.718835
994,TRUE,white,country,joker,60.366737,0,1,1,0,48.12,38.8,charlie,65.87,4,6,44,6,0.846,82.23,50.68,8.29,10.1,-4.32,-99,0.659427
995,CCM,blue,hip hop,hype,58.643768,0,0,0,0,63.56,21.13,golf,80.22,4,4,35,5,0.508,71.87,38.24,7.7,17.78,-3.38,-127,0.51496
996,Bauer,white,metal,planner,71.525865,0,0,1,1,87.19,57.78,delta,70.05,4,3,50,5,0.923,68.09,33.71,8.91,16.79,-3.17,-78,0.090864
997,Bauer,black,hip hop,joker,74.177058,0,1,1,0,78.68,66.1,zulu,50.97,2,7,31,5,0.564,86.24,55.49,8.8,4.24,-1.51,-123,0.663991
998,CCM,white,metal,joker,63.164116,1,1,0,1,54.84,85.45,november,36.85,5,1,15,7,0.858,77.32,44.78,7.55,10.52,-1.21,-127,0.156921
999,Warrior,black,electronic,joker,60.007106,0,1,1,0,45.64,48.35,uniform,93.44,0,8,44,1,0.952,81.01,49.21,9.35,15.54,-2.25,-97,0.813281
1000,Bauer,black,metal,quiet,70.627909,0,1,1,0,65.43,47,echo,78.24,0,3,38,2,0.928,78.35,46.02,9.44,16.13,-4.35,-50,0.798302
1001,CCM,white,pop,quiet,37.697277,0,1,1,1,75.57,73.07,quebec,10.33,4,1,4,2,0.547,86.77,56.12,8.28,8.56,-2.95,-30,0.736792
1002,CCM,black,pop,hype,55.337439,0,1,1,1,51.82,82.8,oscar,80.63,5,4,47,4,0.67,84.5,53.4,5.27,5.68,-0.59,-141,0.789662
1003,Bauer,white,electronic,planner,45.089255,0,0,0,1,82.92,74.85,bravo,65.8,4,3,32,3,0.4,87.75,57.3,5.71,17.46,-1.53,-175,0.341123
1004,Sherwood,blue,pop,joker,54.989309,0,1,0,1,71.3,80.31,foxtrot,79.29,4,4,3,6,0.932,74.2,41.04,6.03,4.37,-2.37,-6,0.433031
1005,TRUE,green,electronic,joker,54.870686,0,0,1,1,94.63,56.73,golf,19.83,0,2,50,5,0.903,76.2,43.44,8.89,5.26,-0.95,-163,0.51848
1006,Bauer,red,metal,planner,55.022986,0,1,1,0,47.97,69.17,juliett,53.83,0,2,50,5,0.773,82,50.4,9,14.13,-4,-90,0.10267
1007,TRUE,black,pop,joker,31.280282,0,0,1,1,84.72,64.84,xray,42.21,5,7,38,11,0.554,92.77,63.32,7.78,16.66,-4.16,-13,0.715223
1008,Warrior,black,country,planner,36.576263,1,1,1,1,80.56,74.63,alpha,37.8,3,8,35,5,0.715,86.34,55.61,6.58,13.32,-1.92,-51,0.342589
1009,Bauer,white,country,hype,29.445116,0,0,1,0,58.96,50.37,papa,32.43,1,4,47,5,0.545,75.48,42.58,7.97,17.11,-3.73,-16,0.206415
1010,TRUE,white,rock,joker,,0,1,1,1,53.48,46.46,quebec,67.3,3,5,41,5,0.672,83.11,51.73,9.3,8.93,-1.32,-70,0.21633
1011,Bauer,black,pop,planner,41.608409,0,1,0,0,93.34,51.22,quebec,34.1,2,4,40,6,0.795,82.51,51.01,8.09,11.36,-0.81,-81,0.724343
1012,CCM,green,pop,planner,58.597507,0,0,0,0,65.31,59.51,sierra,24.89,3,6,50,7,0.644,65.51,30.61,8.91,14.56,-1.07,-140,0.469717
1013,Warrior,white,electronic,joker,,0,1,1,1,46.49,69.9,india,40.8,5,7,37,12,0.716,71.43,37.72,7.86,5.81,-4.07,-107,0.808115
1014,TRUE,red,electronic,quiet,37.755313,1,1,1,1,95.11,57.35,foxtrot,63.79,2,8,16,9,0.781,86.1,,6.73,15.64,-0.44,-13,0.29274
1015,Bauer,white,electronic,quiet,67.936968,0,1,1,1,64.44,46.23,lima,45.31,1,6,9,6,0.559,85.61,54.73,7.04,4.28,-2.21,-154,0.91379
1016,Warrior,red,country,joker,60.815246,0,0,1,1,63.88,86.66,echo,37.33,0,7,21,6,0.543,80.73,48.88,5.67,14.42,-1.52,-105,0.811747
1017,TRUE,blue,country,quiet,65.698317,0,0,1,1,61.55,91.01,delta,58.21,5,5,40,11,0.868,84.81,53.77,7.54,9.84,-3.59,-77,0.079826
1018,TRUE,white,metal,quiet,58.087818,0,1,0,1,89.2,76.53,whiskey,39.8,3,2,48,10,0.521,72.89,39.47,8.02,13.07,-1.5,-133,0.066737
1019,Bauer,white,metal,mentor,76.014786,0,1,1,0,77.22,44.02,echo,2.24,3,8,38,6,0.587,74.18,41.02,8.58,16.29,-3.65,-45,0.826663
1020,Bauer,green,hip hop,mentor,76.469039,0,0,1,0,95.7,62.42,xray,27.49,3,6,2,12,0.879,77.55,,5.16,10.95,-7.06,-168,0.818773
1021,Bauer,green,rock,planner,,0,1,1,0,96.37,51.46,charlie,75.89,1,1,18,3,0.944,76.84,44.21,8.38,17.65,-0.72,-59,0.656409
1022,Bauer,red,country,quiet,42.228092,0,1,0,1,93.2,56.68,sierra,58.25,3,7,55,6,0.64,84.15,52.98,7.02,6.14,-2.71,-8,0.305996
1023,TRUE,blue,metal,joker,36.903277,1,1,1,1,64.46,27.79,sierra,59.49,3,2,26,9,0.459,72.71,39.25,6.03,11.94,-2.88,-114,0.482556
1024,Bauer,white,hip hop,joker,,0,1,0,0,87.86,39.67,yankee,60.98,1,3,47,5,0.551,72.65,39.18,7.89,14.75,-0.63,-24,0.904615
1025,Sherwood,white,country,hype,64.963706,0,0,1,1,96.21,83.96,charlie,79.42,4,7,17,5,0.445,65.08,30.1,8.05,15.02,-0.5,-108,0.674696
1026,CCM,black,rock,joker,36.567459,0,0,1,0,65.44,41.05,papa,9.04,0,4,9,3,0.923,85.24,54.29,6.67,12.71,-3.25,-140,0.350574
1027,Bauer,white,metal,quiet,58.59583,0,0,1,1,53.21,51.43,oscar,29.59,0,2,21,5,0.905,77.73,45.28,5.53,5.47,-2.01,-20,0.364862
1028,CCM,black,rock,planner,43.452115,0,0,1,1,72.35,47.99,victor,50.64,1,3,55,5,0.5,73.47,40.16,7.39,8.59,-5.16,-48,0.920299
1029,Warrior,black,hip hop,quiet,58.442192,0,1,1,1,97.78,73.82,papa,50.82,3,2,30,5,0.831,88.25,57.9,7.55,12.06,-1.44,-78,0.318212
1030,Bauer,black,hip hop,mentor,77.456007,0,0,0,1,97.16,80.12,uniform,70.77,4,1,51,5,0.789,87.77,57.32,6.13,14.06,-0.65,-144,0.018484
1031,Sherwood,white,electronic,hype,33.725566,0,0,0,0,79.81,53.48,charlie,32.77,5,1,45,4,0.493,85.93,55.12,6.73,5.97,-2.68,-130,0.221346
1032,Bauer,black,pop,quiet,66.953882,1,1,1,1,71.4,80.09,whiskey,66.52,5,5,41,5,0.427,80.11,48.13,6.09,5.37,-2.78,-88,0.042164
1033,TRUE,red,rock,quiet,69.301796,0,0,1,1,62.94,74.56,delta,45.33,5,8,26,8,0.662,80.16,48.19,6.94,10.8,-4.65,-5,0.068374
1034,Bauer,red,rock,quiet,69.945385,0,0,1,0,57.2,48.64,zulu,53.07,3,8,17,6,0.638,67.62,33.14,6.87,9.59,-3.05,-157,0.203287
1035,Warrior,white,rock,quiet,33.221378,1,0,1,1,87.61,55.99,bravo,56.92,0,5,34,6,0.716,89.83,59.8,5.49,6.3,-2.47,-12,0.314983
1036,CCM,white,rock,planner,74.317018,0,0,1,0,68.83,87.31,tango,6.09,3,8,7,3,0.406,82.94,51.53,7.71,13.96,-0.95,-106,0.936458
1037,TRUE,green,electronic,quiet,44.723233,0,1,1,0,54.01,36.68,lima,21.2,3,3,21,8,0.579,97.52,69.02,6.34,17.75,-2.08,-65,0.243391
1038,Warrior,black,hip hop,joker,40.391057,0,0,1,1,82.77,49.93,xray,6.5,2,1,27,5,0.586,77.87,45.44,7.35,9.06,-4.66,-147,0.676763
1039,Bauer,white,rock,planner,58.733467,0,0,0,0,96.8,90.84,whiskey,64.1,5,3,52,5,0.543,71.69,,5.71,16.98,-6.95,-133,0.045375
1040,Bauer,blue,pop,mentor,44.54891,0,0,1,0,64.14,44.97,foxtrot,42.51,4,5,9,7,0.775,94.65,65.58,8.73,16.17,-5.78,-53,0.267448
1041,CCM,white,country,joker,34.719107,0,0,1,1,83.09,86.06,sierra,41.69,1,6,28,5,0.439,80.49,48.59,6.4,15.02,-3.1,-94,0.45875
1042,CCM,red,rock,joker,48.176914,0,1,0,0,57.86,58.34,november,17.42,5,1,13,3,0.705,91.75,62.1,7.25,6.33,-1.57,-99,0.26806
1043,TRUE,black,country,quiet,68.755869,1,1,1,1,47.88,41.17,foxtrot,58.08,2,1,29,3,0.843,71.62,37.94,8.35,10.37,-4.43,-152,0.957008
1044,Bauer,blue,electronic,planner,62.929365,1,0,1,0,72.84,47.38,india,59.8,4,7,14,10,0.398,80.13,48.16,6.15,14.71,-3.38,-180,0.007761
1045,CCM,black,metal,mentor,53.791733,0,1,1,1,83.73,82.58,xray,40.73,3,3,44,2,0.572,72.18,38.62,6.2,13.9,-3.76,-58,0.06855
1046,CCM,white,pop,joker,42.7808,1,1,1,1,46.27,81.88,bravo,34.12,0,4,37,6,0.382,86.47,55.76,7.04,4.88,-0.75,-173,0.262586
1047,Warrior,black,metal,planner,54.879474,0,1,0,0,97.93,75.9,charlie,41.3,1,3,24,5,0.747,78.41,46.09,9.34,6.63,-3.64,-147,0.686784
1048,Bauer,black,country,planner,57.478454,1,1,1,1,85.06,78.64,kilo,41.55,2,4,19,6,0.87,94.56,65.47,9.79,15.04,-4.75,-80,0.676308
1049,CCM,white,hip hop,hype,54.917698,0,0,1,0,74.84,92.59,papa,34.23,5,7,10,0,0.674,87.79,57.35,7.72,11.6,-1.58,-17,0.325782
1050,Warrior,white,electronic,mentor,63.324593,0,0,1,0,97.87,70.58,tango,24.89,4,8,53,6,0.799,65.59,30.71,5.33,7.62,-1,-92,0.01618
1051,CCM,white,metal,mentor,28.088511,1,0,1,0,67.21,70.81,victor,35.92,5,7,8,7,0.593,86.49,55.79,6.4,10.61,-4.06,-71,0.242949
1052,CCM,green,pop,joker,58.75819,0,0,1,1,67.83,69.13,hotel,8.06,0,7,9,7,0.962,81.71,50.05,9.15,15.47,-3.4,-31,0.083411
1053,CCM,white,rock,mentor,59.480671,1,1,0,1,53.67,68.79,hotel,71.14,2,5,1,4,0.883,72.66,,6.73,5.73,-1.05,-151,0.955458
1054,Sherwood,black,hip hop,joker,52.481973,0,1,1,1,79.81,57.35,papa,46.07,2,1,48,4,0.402,74.88,41.86,6.37,5.57,-1.9,-152,0.159593
1055,CCM,black,pop,joker,57.120159,0,1,1,0,76.47,54.31,alpha,46.54,5,1,31,8,0.381,88.46,58.15,6.92,9.53,-2.85,-101,0.303598
1056,TRUE,red,electronic,planner,60.1028,0,1,0,1,63.77,72.83,november,22.51,1,8,32,6,0.582,75.73,42.88,6.72,9.28,-3.05,-32,0.146421
1057,CCM,green,country,planner,51.256415,0,0,1,1,61.34,72.32,whiskey,25.82,5,4,54,2,0.806,88.95,58.74,8.4,10.95,-0.49,-21,0.867266
1058,Warrior,white,electronic,hype,48.255296,0,0,1,1,86.81,94.72,echo,46.24,1,3,44,5,0.658,75.22,42.26,8.72,13.19,-0.75,-102,0.181925
1059,TRUE,blue,electronic,planner,37.894783,0,0,1,1,57.31,78.31,xray,32.37,2,8,47,7,0.96,77.3,44.76,8.21,7.51,-1.75,-10,0.658701
1060,Sherwood,white,electronic,planner,46.952609,0,1,1,1,57.17,81.02,india,53.67,0,4,10,4,0.549,90.24,60.29,4.99,11.27,-1.48,-9,0.389375
1061,Bauer,white,pop,planner,52.749452,0,1,1,1,58.27,70.68,delta,74.4,0,5,53,4,0.571,82.44,50.93,7.35,9.32,-5.54,-143,0.083868
1062,Warrior,red,electronic,quiet,,0,1,1,0,83.1,44.42,uniform,77.86,0,7,30,4,0.571,76.69,44.03,7.72,10.36,-5.42,-105,0.549168
1063,Bauer,white,electronic,hype,80.012294,1,0,1,1,67.28,86.35,golf,36.44,3,5,32,2,0.553,86.32,,7.32,5.63,-2.59,-117,0.27486
1064,Bauer,white,metal,planner,40.266451,0,0,1,1,89.36,31.65,quebec,28.95,5,7,46,2,0.794,84.04,52.85,6.43,16.52,-0.64,-106,0.72238
1065,TRUE,white,country,planner,37.004286,0,1,1,1,89.76,46.59,romeo,79.62,5,6,47,0,0.906,72.75,39.3,6.13,17.73,-7.61,-9,0.442393
1066,Sherwood,white,pop,quiet,41.487482,0,1,1,0,93.63,67.92,quebec,72.37,4,1,52,3,0.382,74.4,41.28,7.66,15.02,-1.08,-24,0.731732
1067,Warrior,white,pop,joker,38.462894,1,1,1,1,50.07,65.19,zulu,55.79,5,1,21,5,0.507,89.92,59.9,8.25,9.95,-2.13,-100,0.219584
1068,CCM,black,hip hop,mentor,28.05932,0,0,1,1,73,88.16,mike,62.6,1,1,31,3,0.583,90.68,,6.59,4.93,-1.71,-62,0.194069
1069,Warrior,green,hip hop,quiet,69.156721,1,0,1,1,72.8,42.33,alpha,47.18,5,8,22,3,0.769,90.13,60.16,7.49,9.62,-1.64,-37,0.292372
1070,Sherwood,black,country,mentor,51.810601,0,0,1,1,51.98,93.71,zulu,72.79,4,7,11,6,0.808,83.03,51.64,7.57,13.2,-1.84,-152,0.216804
1071,Sherwood,black,rock,quiet,61.58356,0,0,0,1,56.98,90.04,kilo,73.64,4,7,54,5,0.842,68.25,33.9,7.53,5.95,-2.93,-122,0.990128
1072,TRUE,blue,hip hop,quiet,34.723795,1,0,1,1,69.1,68.39,golf,85.81,5,4,31,9,0.571,86.76,56.11,9.05,11.4,-2.01,-160,0.180505
1073,CCM,black,pop,joker,56.498362,0,0,1,1,82.67,53.06,whiskey,44.33,0,4,41,4,0.584,81.39,,9.58,6.86,-5.47,-57,0.058069
1074,Bauer,white,hip hop,mentor,75.604865,0,0,1,1,89.43,20.78,tango,96.54,4,8,3,4,0.406,80.06,48.07,7.99,13.58,-2.4,-163,0.956194
1075,Bauer,white,hip hop,mentor,61.127184,0,1,1,1,59.42,81.2,victor,66.39,0,2,40,4,0.975,81.7,50.04,7.96,5.25,-0.31,-62,0.934279
1076,Bauer,white,metal,quiet,26.629467,0,0,0,0,64.92,70.19,echo,8.6,4,5,38,6,0.886,92.02,62.42,7.06,14.93,-5.12,-164,0.820791
1077,CCM,white,hip hop,quiet,67.673165,0,1,0,1,87.88,29.92,mike,65.07,4,6,17,3,0.99,74.81,41.77,6.24,11.9,-8.35,-82,0.187711
1078,Bauer,white,country,mentor,67.489791,0,0,0,1,94.37,80.02,delta,80.74,4,1,46,4,0.746,71.77,38.12,5.13,7.72,-1.3,-157,0.087997
1079,Warrior,black,hip hop,hype,40.732851,1,0,1,1,89.58,47.74,xray,61.52,4,4,45,3,0.422,84.39,53.27,8.31,14.65,-2.96,-34,0.704306
1080,TRUE,white,metal,quiet,78.07516,0,1,1,1,95.45,84.55,bravo,97.15,1,5,24,3,0.811,73.96,,4.99,13.13,-1.07,-162,0.132283
1081,TRUE,white,pop,mentor,62.987702,1,1,1,1,82.42,50.81,yankee,61.43,5,4,38,4,0.641,68.93,34.72,7.94,8.09,-1.68,-139,0.985564
1082,Bauer,red,pop,hype,74.094822,0,0,0,1,77.39,43.23,mike,51.55,3,4,32,12,0.463,86.82,56.18,5.75,10.51,-3.39,-23,0.121946
1083,Bauer,blue,hip hop,planner,44.762768,0,0,1,1,79.41,72.17,victor,73.31,3,5,8,5,0.725,79.45,47.34,6.06,12.45,-2.6,-98,0.926954
1084,Sherwood,white,country,mentor,40.526577,0,0,1,1,94.71,68.44,sierra,90.95,4,2,49,7,0.669,80.43,48.52,8.48,4.55,-4.24,-140,0.626523
1085,Sherwood,blue,pop,joker,68.628069,0,0,1,1,66.64,72.3,november,41.68,0,6,11,7,0.901,69.71,35.65,7.98,5.72,-2.26,-132,0.120034
1086,Sherwood,black,country,hype,82.115634,0,0,1,1,51.02,45.37,november,59.4,2,2,24,1,0.517,79.88,47.86,7.03,15.58,-6.41,-46,0.139965
1087,Sherwood,white,country,planner,42.137851,0,0,1,1,71.3,58.87,foxtrot,38.09,0,1,45,4,0.909,92.6,63.12,5.21,12.33,-5.86,-48,0.875666
1088,Bauer,white,country,hype,38.594953,0,0,0,0,99.97,60.78,charlie,45.1,4,5,19,10,0.76,84.78,,6.2,13.47,-1.22,-64,0.481442
1089,TRUE,blue,country,mentor,64.029681,0,1,1,1,86.06,85.58,victor,81.9,2,8,23,6,0.428,91.77,62.12,7.72,12.19,-1.55,-46,0.899718
1090,Bauer,black,country,planner,44.370086,0,1,1,0,79.75,63.83,victor,67.5,0,3,6,4,0.42,85.03,54.04,8.09,8.71,-1.33,-118,0.918844
1091,Bauer,white,metal,joker,42.313804,1,0,1,1,74.51,90.1,sierra,50.12,4,2,34,2,0.389,84.17,53,7.24,5.39,-0.5,-180,0.486683
1092,CCM,black,hip hop,mentor,45.355265,0,1,1,1,54.36,44.63,bravo,61.64,4,1,20,4,0.809,88.08,57.7,8.39,15.98,-3,-39,0.886239
1093,TRUE,black,country,planner,35.94934,0,1,1,1,56.87,85.81,kilo,36.89,5,2,48,2,0.537,80.87,49.04,8.55,13.97,-1.3,-172,0.691766
1094,CCM,white,pop,quiet,41.705049,0,1,1,1,58.3,43.67,oscar,52.42,5,5,39,7,0.633,80.79,48.95,7.06,16.41,-5.29,-169,0.021995
1095,Bauer,black,hip hop,mentor,46.011571,1,1,1,1,74.31,82.49,yankee,88.96,3,6,32,4,0.424,81.81,50.17,6.89,6.38,-3.56,-107,0.559969
1096,Sherwood,white,rock,hype,62.837612,0,1,0,0,73.2,79.78,tango,20.74,3,5,51,4,0.905,70.53,36.64,7.68,14.12,-7.09,-50,0.035838
1097,Bauer,white,metal,hype,49.738265,0,1,1,0,61.39,64.89,juliett,70.67,2,7,1,6,0.585,71.14,,7.33,6.38,-3.99,-156,0.427503
1098,TRUE,black,pop,hype,65.894541,1,0,0,0,75.59,49.82,foxtrot,61.5,4,6,21,7,0.912,75.64,42.77,6.85,6.43,-5.02,-47,0.513204
1099,TRUE,green,hip hop,mentor,73.876615,1,0,1,0,72.29,58.63,lima,6.85,2,6,48,6,0.894,69.17,35,7.66,7.43,-1.16,-146,0.516304
1100,Bauer,white,rock,joker,80.459786,0,1,1,1,95.84,32.17,whiskey,44.81,3,6,55,2,0.513,75.08,42.1,5.32,10.15,-6.75,-177,0.826751
1101,CCM,white,electronic,joker,52.631331,1,0,1,1,86.63,55.14,golf,72.8,2,8,30,7,0.46,81.98,50.38,7.23,7.67,-2.98,-137,0.311856
1102,Bauer,green,pop,quiet,45.380889,1,1,1,1,52.39,69.41,xray,92.46,1,6,41,2,0.965,83.45,52.14,7.29,10.84,-3.16,-154,0.406644
1103,Warrior,black,electronic,hype,50.237079,1,1,1,1,99.35,51.32,november,44.33,2,4,25,5,0.962,81.34,49.61,8.13,10.22,-1.24,-178,0.934844
1104,Warrior,white,pop,hype,57.745293,0,0,1,0,74.23,64.73,quebec,89.02,3,5,4,6,0.719,77.43,44.92,5.67,16.37,-7.82,-9,0.957625
1105,CCM,white,pop,quiet,64.395471,0,0,1,1,97.1,72.14,yankee,81.98,4,3,7,1,0.985,76.58,43.9,5.35,15.26,-2.74,-9,0.986438
1106,Warrior,red,hip hop,joker,69.767403,0,1,1,1,96.47,34.76,romeo,60.37,5,5,43,7,0.385,91.02,61.22,7.18,14.97,-3.8,-117,0.052198
1107,CCM,white,electronic,quiet,67.438002,0,0,1,0,98.19,68.39,uniform,15.39,3,5,53,4,0.676,75.26,42.31,5.68,10.47,-2.84,-51,0.013779
1108,CCM,black,pop,mentor,61.322711,0,0,1,0,74.37,66.3,hotel,43.21,3,5,23,4,0.592,83.95,52.74,8.16,5.99,-5.1,-67,0.861103
1109,Warrior,black,electronic,joker,51.134367,1,0,1,1,88.02,42.4,zulu,56.71,2,7,47,6,0.788,80.97,49.16,8.46,13.23,-0.27,-39,0.344273
1110,TRUE,black,electronic,planner,72.306025,0,1,1,1,93.57,93.24,romeo,73.52,4,7,12,1,0.645,67.78,33.34,7.66,12.68,-2.13,-158,0.964813
1111,CCM,white,country,planner,65.243107,0,1,1,1,92.07,73.67,kilo,61.03,4,3,1,6,0.47,87.61,57.13,7.47,13.94,-2.74,-123,0.629456
1112,Warrior,white,electronic,hype,41.541864,0,1,1,0,84.66,36.6,kilo,12.69,2,8,29,4,0.491,82.67,51.2,6.4,14.75,-6.65,-12,0.348939
1113,Bauer,white,electronic,hype,47.767956,0,0,1,1,94.55,85.41,papa,46.68,1,7,15,6,0.537,79.67,47.6,9.56,15.69,-0.91,-108,0.969169
1114,CCM,black,country,joker,26.664792,0,0,1,1,77.23,51.08,oscar,66,1,3,25,7,0.539,82.02,50.42,7.29,16.16,-0.84,-98,0.773457
1115,Bauer,black,rock,planner,52.159078,0,0,1,0,71.26,32.14,uniform,50.53,0,1,33,5,0.516,85.98,55.18,9.18,15.37,-1,-87,0.003164
1116,CCM,black,pop,hype,47.531478,0,0,1,1,64.18,63.38,lima,61.69,5,6,27,5,0.551,80.52,48.62,7.61,10.6,-2.72,-5,0.272311
1117,CCM,white,country,mentor,58.418638,0,1,0,1,64.05,28.69,sierra,34.94,3,3,45,6,0.39,83.48,52.18,7.13,14.42,-3.32,-104,0.495783
1118,Sherwood,white,pop,hype,46.172017,1,0,0,0,53.19,50.14,papa,94.36,3,6,36,8,0.569,87.87,57.44,6.43,5.49,-2.21,-131,0.854012
1119,Bauer,white,rock,joker,36.012952,1,0,1,0,87.43,54.47,alpha,69.16,5,6,8,5,0.589,73.73,40.48,7.63,6.06,-0.74,-34,0.381959
1120,Sherwood,blue,rock,planner,68.195259,0,0,1,0,82.82,50.56,xray,12.37,1,1,31,4,0.93,76.4,43.68,6.27,15.23,-2.23,-145,0.133825
1121,Bauer,white,metal,quiet,52.203123,1,1,1,0,48.64,30.54,hotel,60.4,4,4,48,13,0.575,88.62,58.34,6.8,10.79,-1.89,-128,0.857215
1122,Warrior,white,rock,mentor,52.20606,0,0,1,1,81.12,64.25,quebec,50.44,5,3,11,3,0.714,87.32,56.78,7.13,10.6,-3.04,-24,0.474333
1123,CCM,green,pop,joker,56.537736,1,1,1,1,81.74,93.04,oscar,35.59,0,4,4,6,0.407,82.79,51.35,6.67,6.96,-2.48,-58,0.069227
1124,Sherwood,white,pop,quiet,56.871035,0,1,1,1,52.62,69.35,delta,40.31,0,5,30,3,0.617,77.12,44.54,5.02,17.32,-4.38,-113,0.092277
1125,CCM,white,electronic,hype,39.936969,1,0,1,1,88.59,76.97,whiskey,38.09,1,6,39,2,0.992,75.69,42.83,7.59,8.52,-4.8,-42,0.170511
1126,Bauer,blue,electronic,mentor,62.131127,0,0,1,0,85.22,40.35,charlie,59.51,1,8,53,7,0.733,78.9,46.68,5.64,14.81,-1.14,-17,0.939798
1127,Bauer,white,rock,joker,39.786494,0,1,1,1,63.41,65.71,foxtrot,35.16,4,3,43,4,0.427,82.94,51.53,7.62,12.75,-1.47,-113,0.889135
